rel_time_s,source,power_w
0.0218,gpu,55.150
0.2002,cpu,100.200
0.2586,gpu,53.120
0.4006,cpu,99.700
0.4827,gpu,53.040
0.6009,cpu,85.050
0.7095,gpu,52.720
0.8011,cpu,111.650
0.9356,gpu,44.510
1.0014,cpu,110.000
1.1653,gpu,36.480
1.2015,cpu,109.050
1.3903,gpu,169.620
1.4017,cpu,110.900
1.6020,cpu,110.950
1.6160,gpu,42.290
1.8022,cpu,109.250
1.8428,gpu,51.750
2.0025,cpu,107.600
2.0693,gpu,86.860
2.2027,cpu,103.600
2.2941,gpu,112.490
2.4029,cpu,100.800
2.5203,gpu,85.840
2.6032,cpu,103.200
2.7450,gpu,55.030
2.8037,cpu,95.400
2.9693,gpu,256.810
3.0039,cpu,88.650
3.1953,gpu,55.000
3.2042,cpu,94.650
3.4045,cpu,96.350
3.4207,gpu,136.250
3.6048,cpu,95.300
3.6449,gpu,57.860
3.8050,cpu,93.850
3.8682,gpu,223.650
4.0053,cpu,86.950
4.0928,gpu,54.750
4.2055,cpu,88.750
4.3165,gpu,179.720
4.4058,cpu,88.100
4.5416,gpu,55.460
4.6060,cpu,89.750
4.7674,gpu,191.790
4.8063,cpu,88.400
4.9930,gpu,60.590
5.0065,cpu,89.250
5.2067,cpu,82.150
5.2168,gpu,185.940
5.4070,cpu,80.000
5.4409,gpu,56.610
5.6072,cpu,81.900
5.6670,gpu,114.110
5.8075,cpu,80.500
5.8916,gpu,75.540
6.0077,cpu,81.200
6.1144,gpu,197.360
6.2080,cpu,80.200
6.3407,gpu,66.540
6.4083,cpu,81.750
6.5637,gpu,54.540
6.6085,cpu,80.150
6.7869,gpu,117.660
6.8088,cpu,81.300
7.0091,cpu,80.100
7.0117,gpu,54.600
7.2094,cpu,81.500
7.2372,gpu,88.300
7.4095,cpu,80.550
7.4653,gpu,55.670
7.6097,cpu,80.650
7.6910,gpu,256.260
7.8100,cpu,80.800
7.9181,gpu,55.250
8.0102,cpu,84.600
8.1439,gpu,153.890
8.2105,cpu,88.350
8.3689,gpu,59.670
8.4108,cpu,89.400
8.5945,gpu,185.090
8.6111,cpu,87.500
8.8113,cpu,89.750
8.8190,gpu,57.730
9.0115,cpu,83.000
9.0433,gpu,171.170
9.2118,cpu,84.950
9.2675,gpu,55.790
9.4121,cpu,87.450
9.4936,gpu,200.960
9.6123,cpu,89.500
9.7219,gpu,63.020
9.8126,cpu,88.650
9.9450,gpu,185.300
10.0128,cpu,89.050
10.1694,gpu,57.050
10.2131,cpu,88.050
10.3948,gpu,148.340
10.4134,cpu,89.100
10.6135,cpu,88.500
10.6193,gpu,74.960
10.8137,cpu,87.850
10.8436,gpu,204.920
11.0140,cpu,88.700
11.0711,gpu,67.640
11.2142,cpu,88.200
11.2965,gpu,55.260
11.4145,cpu,89.950
11.5203,gpu,122.350
11.6147,cpu,88.200
11.7451,gpu,66.220
11.8150,cpu,88.850
11.9708,gpu,91.150
12.0152,cpu,88.500
12.1948,gpu,55.460
12.2155,cpu,89.050
12.4157,cpu,87.900
12.4186,gpu,243.010
12.6160,cpu,88.750
12.6452,gpu,54.830
12.8163,cpu,88.850
12.8700,gpu,135.080
13.0166,cpu,88.750
13.0938,gpu,59.100
13.2168,cpu,88.700
13.3214,gpu,191.390
13.4171,cpu,89.150
13.5475,gpu,54.080
13.6174,cpu,88.850
13.7744,gpu,167.200
13.8176,cpu,88.600
13.9983,gpu,59.120
14.0179,cpu,89.100
14.2181,cpu,87.650
14.2231,gpu,174.350
14.4184,cpu,89.600
14.4482,gpu,56.670
14.6186,cpu,88.200
14.6726,gpu,253.160
14.8189,cpu,88.850
14.8960,gpu,55.260
15.0192,cpu,88.150
15.1219,gpu,200.450
15.2194,cpu,89.750
15.3467,gpu,58.350
15.4197,cpu,88.300
15.5701,gpu,163.860
15.6200,cpu,89.300
15.7938,gpu,56.120
15.8203,cpu,89.100
16.0196,gpu,183.510
16.0205,cpu,89.650
16.2208,cpu,88.450
16.2444,gpu,59.400
16.4210,cpu,88.500
16.4684,gpu,171.320
16.6213,cpu,89.050
16.6928,gpu,56.790
16.8215,cpu,88.500
16.9185,gpu,200.580
17.0217,cpu,89.250
17.1427,gpu,65.380
17.2220,cpu,87.850
17.3674,gpu,199.500
17.4222,cpu,88.400
