rel_time_s,source,power_w
0.0222,gpu,52.620
0.2546,gpu,52.160
0.4768,gpu,51.960
0.7015,gpu,213.020
0.9268,gpu,151.860
1.1548,gpu,35.300
1.3826,gpu,37.590
1.6135,gpu,112.510
1.8424,gpu,34.770
2.0712,gpu,36.100
2.3047,gpu,50.660
2.5331,gpu,79.130
2.7683,gpu,34.300
2.9982,gpu,41.530
3.2279,gpu,87.100
3.4562,gpu,34.050
3.6859,gpu,38.190
3.9155,gpu,79.500
4.1447,gpu,34.010
4.3744,gpu,35.320
4.6028,gpu,48.500
4.8343,gpu,84.480
5.0629,gpu,34.420
5.2916,gpu,38.710
5.5210,gpu,78.660
5.7491,gpu,34.200
5.9778,gpu,35.560
6.2065,gpu,49.930
6.4361,gpu,84.660
6.6664,gpu,34.330
6.8945,gpu,38.800
7.1237,gpu,96.130
7.3531,gpu,34.250
7.5816,gpu,38.630
7.8102,gpu,96.720
8.0409,gpu,34.890
8.2676,gpu,46.530
8.4955,gpu,77.140
8.7222,gpu,34.320
8.9495,gpu,41.110
9.1783,gpu,95.170
9.4053,gpu,34.120
9.6331,gpu,35.370
9.8635,gpu,96.650
10.0960,gpu,34.230
10.3277,gpu,36.460
10.5562,gpu,77.080
10.7856,gpu,34.120
11.0148,gpu,36.260
11.2451,gpu,62.530
11.4734,gpu,34.130
11.7023,gpu,35.590
11.9315,gpu,61.920
12.1609,gpu,34.670
12.3898,gpu,35.540
12.6202,gpu,54.630
12.8495,gpu,84.000
13.0796,gpu,36.790
13.3062,gpu,76.170
13.5333,gpu,78.370
13.7608,gpu,34.470
13.9877,gpu,69.150
14.2160,gpu,72.350
14.4456,gpu,35.340
14.6746,gpu,76.480
14.9037,gpu,34.300
15.1332,gpu,36.450
15.3628,gpu,66.570
15.5937,gpu,34.100
15.8223,gpu,38.980
16.0524,gpu,104.400
16.2815,gpu,34.550
16.5084,gpu,47.520
16.7355,gpu,79.190
16.9623,gpu,34.290
17.1888,gpu,47.660
17.4170,gpu,81.650
17.6465,gpu,34.370
17.8750,gpu,39.400
18.1050,gpu,82.180
18.3342,gpu,34.150
18.5634,gpu,41.130
18.7918,gpu,81.030
19.0208,gpu,34.220
19.2520,gpu,37.590
19.4817,gpu,104.760
19.7113,gpu,34.200
19.9401,gpu,36.510
20.1700,gpu,64.820
20.4000,gpu,34.680
20.6284,gpu,35.080
20.8573,gpu,44.120
21.0855,gpu,76.540
21.3143,gpu,34.960
21.5424,gpu,57.800
21.7689,gpu,88.220
21.9959,gpu,34.310
22.2229,gpu,49.350
22.4502,gpu,77.060
22.6785,gpu,34.310
22.9096,gpu,35.750
23.1361,gpu,106.130
23.3663,gpu,34.200
23.5961,gpu,36.020
23.8244,gpu,77.010
24.0545,gpu,34.390
24.2839,gpu,36.110
24.5127,gpu,66.890
24.7425,gpu,38.910
24.9707,gpu,35.080
25.2002,gpu,49.920
25.4296,gpu,78.980
25.6594,gpu,34.310
25.8886,gpu,41.060
26.1178,gpu,103.510
26.3476,gpu,34.260
26.5759,gpu,37.940
26.8046,gpu,98.700
27.0400,gpu,35.110
27.2666,gpu,55.610
27.4976,gpu,87.810
27.7245,gpu,34.300
27.9516,gpu,52.300
28.1799,gpu,88.960
28.4081,gpu,34.370
28.6379,gpu,39.460
28.8667,gpu,83.440
29.0949,gpu,34.540
29.3236,gpu,38.480
29.5538,gpu,81.500
29.7825,gpu,34.170
30.0117,gpu,35.430
30.2406,gpu,71.570
30.4708,gpu,33.990
