batch,run,threads,timeout_ms,frames,publisher_time_s,publisher_avg_fps,stage_time_s,stage_fps,cb_avg_ms,pipeline_e2e_s,drava_overhead_s,drava_overhead_pct,gpu_avg_power_w,gpu_avg_util_pct,gpu_avg_mem_mib,gpu_energy_j,gpu_energy_j_per_frame,cpu_energy_source,cpu_energy_j,cpu_energy_j_per_frame,cpu_rapl_energy_j,total_energy_j,total_energy_j_per_frame
2,1,2,200,512,1.561,328.1,29.894781,17.13,116.298,30.506003234535456,0.6112222345354574,2.0036129604926436,54.96940298507462,29.55223880597015,20991.0,1675.7041235796264,3.272859616366458,perf,,,,1675.7041235796264,3.272859616366458
2,2,2,200,512,1.538,332.83,29.776484,17.19,115.837,30.394048643298447,0.6175646432984472,2.031860416314144,52.9075939849624,29.30827067669173,20991.0,1600.7192901196797,3.1264048635149995,perf,,,,1600.7192901196797,3.1264048635149995
2,3,2,200,512,1.514,338.26,29.745492,17.21,115.718,30.591104646213353,0.845612646213354,2.7642435799323977,54.36044776119403,29.66417910447761,20991.0,1653.8125118183577,3.23010256214523,perf,,,,1653.8125118183577,3.23010256214523
2,4,2,200,512,1.516,337.68,29.552764,17.32,114.967,30.167592992074788,0.6148289920747878,2.038044573978133,52.21022727272727,29.75,20991.0,1570.2954177141983,3.0669832377230435,perf,,,,1570.2954177141983,3.0669832377230435
2,5,2,200,512,1.545,331.4,30.023643,17.05,116.799,30.898148614913225,0.8745056149132253,2.8302848361961033,54.4717037037037,29.303703703703704,20991.0,1674.547302579996,3.270600200351555,perf,,,,1674.547302579996,3.270600200351555
2,6,2,200,512,1.59,321.97,30.083791,17.02,117.034,30.686648931354284,0.6028579313542828,1.9645609812360736,54.445074626865676,29.08955223880597,20991.0,1661.1211808761675,3.2443773063987646,perf,,,,1661.1211808761675,3.2443773063987646
2,7,2,200,512,1.565,327.13,30.557802,16.76,118.878,31.414819376543164,0.8570173765431655,2.728067178330122,53.481094890510946,29.467153284671532,20991.0,1671.6604966379325,3.264961907495962,perf,,,,1671.6604966379325,3.264961907495962
2,8,2,200,512,1.483,345.17,29.80445,17.18,115.947,30.420070563443005,0.6156205634430059,2.023731543156975,55.098872180451124,29.661654135338345,20991.0,1669.95105758485,3.2616231593454104,perf,,,,1669.95105758485,3.2616231593454104
2,9,2,200,512,1.491,343.29,29.710845,17.23,115.583,30.344913821667433,0.6340688216674337,2.0895390423375804,53.594210526315784,29.518796992481203,20991.0,1624.9445421140827,3.1737198088165677,perf,,,,1624.9445421140827,3.1737198088165677
2,10,2,200,512,1.634,313.3,29.888611,17.13,116.275,30.831055755726993,0.9424447557269922,3.0568033842043483,52.61455223880597,29.44776119402985,20991.0,1612.901219793125,3.150197694908447,perf,,,,1612.901219793125,3.150197694908447
