rel_time_s,source,power_w
0.0212,gpu,56.440
0.2002,cpu,90.900
0.2648,gpu,54.690
0.4006,cpu,108.300
0.4869,gpu,54.390
0.6009,cpu,85.450
0.7111,gpu,53.810
0.8011,cpu,104.700
0.9363,gpu,309.170
1.0014,cpu,112.250
1.1605,gpu,135.420
1.2016,cpu,112.150
1.3870,gpu,283.740
1.4019,cpu,107.800
1.6021,cpu,110.350
1.6162,gpu,125.350
1.8023,cpu,111.100
1.8411,gpu,249.180
2.0026,cpu,110.200
2.0661,gpu,55.910
2.2028,cpu,104.400
2.2924,gpu,54.480
2.4030,cpu,102.900
2.5247,gpu,52.920
2.6033,cpu,93.800
2.7549,gpu,53.230
2.8036,cpu,80.600
2.9791,gpu,70.100
3.0038,cpu,80.250
3.2041,cpu,80.400
3.2060,gpu,55.600
3.4044,cpu,84.550
3.4304,gpu,63.750
3.6046,cpu,78.850
3.6550,gpu,268.200
3.8049,cpu,80.050
3.8790,gpu,136.010
4.0052,cpu,80.600
4.1065,gpu,261.730
4.2055,cpu,80.100
4.3336,gpu,123.040
4.4057,cpu,79.700
4.5609,gpu,205.280
4.6060,cpu,84.250
4.8062,cpu,80.200
4.8498,gpu,120.540
5.0065,cpu,80.300
5.0877,gpu,164.010
5.2067,cpu,80.400
5.3125,gpu,63.130
5.4070,cpu,79.700
5.5372,gpu,194.800
5.6072,cpu,79.350
5.7634,gpu,206.790
5.8075,cpu,79.950
5.9879,gpu,55.600
6.0077,cpu,80.400
6.2080,cpu,80.500
6.2146,gpu,62.520
6.4083,cpu,80.100
6.4421,gpu,53.400
6.6085,cpu,79.200
6.6661,gpu,61.660
6.8088,cpu,84.350
6.8892,gpu,279.080
7.0090,cpu,80.150
7.1125,gpu,129.200
7.2093,cpu,81.700
7.3448,gpu,197.750
7.4094,cpu,83.850
7.5721,gpu,130.110
7.6097,cpu,79.450
7.7961,gpu,186.550
7.8099,cpu,79.150
8.0102,cpu,80.650
8.0208,gpu,54.080
8.2104,cpu,80.050
8.2470,gpu,157.840
8.4107,cpu,80.150
8.4754,gpu,55.350
8.6109,cpu,79.650
8.7013,gpu,52.680
8.8111,cpu,79.050
8.9269,gpu,79.580
9.0114,cpu,84.600
9.1590,gpu,56.720
9.2117,cpu,81.200
9.3833,gpu,65.790
9.4119,cpu,80.000
9.6069,gpu,194.330
9.6122,cpu,79.550
9.8124,cpu,81.700
9.8327,gpu,162.010
10.0186,cpu,79.700
10.0612,gpu,269.150
10.2189,cpu,80.350
10.2955,gpu,137.720
10.4192,cpu,80.450
10.5200,gpu,268.770
10.6194,cpu,80.000
10.7458,gpu,55.320
10.8197,cpu,78.950
10.9757,gpu,189.700
11.0200,cpu,79.900
11.2020,gpu,53.130
11.2202,cpu,80.300
11.4205,cpu,80.600
11.4303,gpu,55.580
11.6208,cpu,79.700
11.6555,gpu,103.150
11.8210,cpu,83.550
11.8821,gpu,53.630
12.0212,cpu,79.850
12.1055,gpu,93.450
12.2215,cpu,80.700
12.3293,gpu,113.550
12.4218,cpu,80.200
12.5533,gpu,196.700
12.6220,cpu,80.050
12.7805,gpu,217.180
12.8223,cpu,79.450
13.0053,gpu,158.450
13.0225,cpu,79.600
13.2228,cpu,80.200
13.2320,gpu,267.460
13.4231,cpu,79.950
13.4582,gpu,53.400
13.6233,cpu,80.350
13.6839,gpu,57.710
13.8236,cpu,79.600
13.9097,gpu,55.420
14.0238,cpu,78.950
14.1345,gpu,56.640
14.2241,cpu,84.000
14.3607,gpu,170.810
14.4244,cpu,81.550
14.5845,gpu,125.050
14.6246,cpu,80.100
14.8083,gpu,112.420
14.8249,cpu,79.550
15.0252,cpu,79.100
15.0326,gpu,115.280
15.2254,cpu,80.000
15.2593,gpu,206.340
15.4257,cpu,80.250
15.4850,gpu,55.040
15.6259,cpu,80.200
15.7127,gpu,201.960
15.8262,cpu,79.600
15.9394,gpu,201.440
16.0264,cpu,79.500
16.1650,gpu,53.820
16.2267,cpu,79.900
16.3912,gpu,63.690
16.4269,cpu,83.150
